number,x,y
1514,-19,31
1515,-29,26
1516,-33,-26
1517,54,-4
1518,45,-17
1519,14,-30
1520,-18,17
1521,-39,-30
1522,-2,42
1523,14,50
1524,-27,3
1525,-41,-31
1526,13,55
1527,39,13
1528,15,59
1529,9,62
1530,53,-2
1531,4,54
1532,16,59
1533,-18,-55
1534,44,-17
1535,-20,-38
1536,-30,-6
1537,54,-2
1538,14,60
1539,-19,34
1540,14,-21
1541,-19,33
1542,43,-17
1543,6,60
1544,-27,28
1545,48,-15
1546,-23,-62
1547,49,-1
1548,-42,-31
1549,46,-17
1550,54,-5
1551,-20,-62
1552,11,-36
1553,-11,-58
1554,-23,-63
1555,15,-21
1556,31,33
1557,3,54
1558,8,63
1559,54,-1
1560,-17,4
1561,-42,-30
1562,-4,-51
1563,54,-6
1564,-41,-32
1565,41,14
1566,-23,-64
1567,-15,-62
1568,-36,-12
1569,-27,29
1570,-20,-39
1571,16,60
1572,26,-13
1573,-23,8
1574,7,63
1575,44,-18
1576,40,16
1577,28,35
1578,44,2
1579,-38,-7
1580,15,-30
1581,12,-35
1582,-25,7
1583,-24,-63
1584,38,16
1585,46,-18
1586,-14,-61
1587,-22,-63
1588,54,-7
1589,16,61
1590,-28,27
1591,-40,-9
1592,47,-18
1593,-3,-50
1594,17,61
1595,-42,-27
1596,-23,-65
1597,-35,-11
1598,-29,23
1599,49,-15
1600,17,59
1601,44,3
1602,55,-5
1603,42,14
1604,8,64
1605,-25,8
1606,55,-6
1607,14,-31
1608,17,58
1609,-13,-47
1610,8,65
1611,15,50
1612,-36,-13
1613,-32,-6
1614,-4,-53
1615,56,-5
1616,56,-4
1617,-18,-62
1618,-3,-53
1619,18,59
1620,30,35
1621,-20,-63
1622,-32,-14
1623,-28,28
1624,57,-5
1625,58,-5
1626,-38,-6
1627,47,-19
1628,58,-6
1629,3,55
1630,-33,-14
1631,49,-12
1632,21,37
1633,-42,-26
1634,-40,-10
1635,22,37
1636,9,65
1637,-42,-32
1638,28,36
1639,-43,-27
1640,48,-2
1641,2,55
1642,58,-7
1643,-26,29
1644,16,62
1645,49,-13
1646,58,-4
1647,0,39
1648,59,-5
1649,16,63
1650,-41,-33
1651,58,-8
1652,16,-21
1653,-37,-13
1654,54,0
1655,30,30
1656,43,14
1657,50,-12
1658,-25,29
1659,28,37
1660,49,-16
1661,-21,-53
1662,-17,-62
1663,22,31
1664,-39,-7
1665,60,-5
1666,18,61
1667,-24,-64
1668,47,-20
1669,26,-14
1670,-25,-64
1671,2,56
1672,28,38
1673,6,63
1674,51,-12
1675,39,-8
1676,-39,-10
1677,-21,-39
1678,-26,7
1679,-14,-62
1680,-3,-52
1681,11,-37
1682,10,62
1683,44,14
1684,-26,-64
1685,60,-4
1686,-30,26
1687,41,16
1688,-18,36
1689,52,-12
1690,2,57
1691,60,-3
1692,-14,-49
1693,-41,-34
1694,-33,-28
1695,10,65
1696,-23,-66
1697,5,60
1698,-14,-63
1699,5,63
1700,-27,2
1701,-27,30
1702,-28,2
1703,-25,-65
1704,14,-32
1705,10,42
1706,-18,-40
1707,55,0
1708,37,16
1709,47,-21
1710,40,4
1711,-23,-67
1712,13,56
1713,4,60
1714,-19,-50
1715,13,45
1716,-15,-63
1717,10,66
1718,9,66
1719,60,-6
1720,-25,-63
1721,-29,-8
1722,-2,-53
1723,17,57
1724,-27,-64
1725,-27,-65
1726,50,-16
1727,61,-6
1728,10,67
1729,11,66
1730,-40,-7
1731,1,55
1732,-19,18
1733,-43,-32
1734,49,-17
1735,25,-12
1736,51,-16
1737,48,-19
1738,0,55
1739,-14,-64
1740,-27,31
1741,-9,-53
1742,10,-38
1743,11,67
1744,32,33
1745,0,56
1746,-27,-66
1747,-30,-32
1748,-2,-54
1749,11,68
1750,-24,28
1751,-5,-54
1752,-3,-51
1753,54,1
1754,47,-22
1755,-32,-5
1756,-1,55
1757,41,-14
1758,6,64
1759,52,-13
1760,-26,-66
1761,-11,-57
1762,25,-14
1763,48,-22
1764,-42,-34
1765,19,61
