"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
2.545008219E2,-4.011185467E-2,5.342420340E-1,-9.878301993E-3
2.545208435E2,-4.011185467E-2,5.330202579E-1,-8.045705967E-3
2.545408743E2,-4.255531728E-2,5.281332731E-1,-6.823975593E-3
2.545608896E2,-4.011185467E-2,5.244681239E-1,-3.158784239E-3
2.545808999E2,-3.766839579E-2,5.171377659E-1,3.560733516E-3
2.546029007E2,-3.461406752E-2,4.988118112E-1,3.560733516E-3
2.546229086E2,-2.911628224E-2,4.792641103E-1,7.836789824E-3
2.546429170E2,-2.300762944E-2,4.548294842E-1,1.028025150E-2
2.546629318E2,-1.689897478E-2,4.242862165E-1,6.004194263E-3
2.546829589E2,-1.201205421E-2,3.943538070E-1,9.669385850E-3
2.547029720E2,-7.735997904E-3,3.729735315E-1,1.272371225E-2
2.547229821E2,-3.459940664E-3,3.497606814E-1,1.577803865E-2
2.547449833E2,8.161159931E-4,3.186065257E-1,1.944322884E-2
2.547649993E2,6.313903257E-3,2.856198251E-1,2.066496015E-2
2.547850172E2,1.120082475E-2,2.459135801E-1,1.944322884E-2
2.548050304E2,1.303342078E-2,2.055964619E-1,1.944322884E-2
2.548250468E2,1.486601681E-2,1.640576273E-1,2.005409449E-2
2.548450557E2,1.669861190E-2,1.255731285E-1,1.822149940E-2
2.548650722E2,8.757364005E-3,9.014294297E-2,2.066496015E-2
